Average results by system

runName	query	F-measure (alpha=0.5)	precision	recall
random_06	nikon	0.50	0.49	0.50	449	219	220	2	3	5
random_06	nordic airways	0.58	0.52	0.67	476	6	3	242	225	0
random_06	philips	0.52	0.51	0.52	446	188	172	40	39	7
random_06	pierce manufacturing	0.00	0.49	0.00	465	0	1	227	237	0
random_06	pioner company	0.40	0.50	0.33	462	11	22	218	207	4
random_06	renaissance technologies	0.69	0.52	1.00	470	1	0	245	222	2
random_06	renault	0.52	0.52	0.53	425	216	188	3	7	11
random_06	shin corporation	0.49	0.48	0.50	488	1	1	233	238	15
random_06	smarter travel	0.44	0.48	0.40	452	2	3	215	231	1
random_06	southwest airlines	0.46	0.49	0.43	468	57	75	172	157	7
random_06	yamaha	0.46	0.45	0.47	489	214	237	8	11	19
random_07	alcatel	0.47	0.47	0.47	481	215	245	10	7	4
random_07	amadeus_it_group	0.49	0.50	0.47	481	30	34	212	205	0
random_07	apollo hospitals	0.53	0.50	0.56	450	5	4	219	217	5
random_07	armani	0.47	0.47	0.47	466	154	175	66	53	18
random_07	barclays	0.53	0.52	0.54	476	182	153	65	68	8
random_07	bart	0.46	0.45	0.48	480	103	113	114	134	16
random_07	bayer	0.45	0.45	0.46	450	134	158	69	79	10
random_07	blockbuster inc.	0.50	0.50	0.50	476	158	156	78	65	19
random_07	boingo (wifi for travelers)	0.50	0.48	0.52	448	96	89	120	135	8
random_07	bulldog solutions	0.67	0.50	1.00	451	2	0	223	225	1
random_07	cadillac	0.51	0.50	0.52	482	154	141	89	83	15
random_07	craft magazine	0.46	0.48	0.44	467	4	5	221	235	2
random_07	delta holding	0.00	0.50	0.00	484	0	0	243	236	5
random_07	dunlop	0.53	0.53	0.52	464	57	52	190	158	7
random_07	edmunds.com	0.52	0.54	0.50	445	78	78	164	116	9
random_07	elf corporation	0.42	0.50	0.36	489	5	9	238	230	7
random_07	emperor entertainment group	0.34	0.53	0.25	490	2	6	256	226	0
random_07	fender	0.45	0.44	0.47	471	141	161	67	85	17
random_07	folio_corporation	0.55	0.47	0.67	473	4	2	217	232	18
random_07	foxtel	0.48	0.47	0.49	499	236	243	1	5	14
random_07	fujitsu	0.53	0.52	0.53	457	220	193	18	19	7
random_07	harpers	0.48	0.47	0.50	495	90	91	143	154	17
random_07	impulse (records )	0.52	0.51	0.53	454	8	7	222	217	0
random_07	lamborghini	0.49	0.48	0.50	407	187	189	10	12	9
random_07	land rover	0.49	0.48	0.50	450	137	136	78	87	12
random_07	linux	0.48	0.48	0.49	387	184	194	3	3	3
random_07	liquid entertainment	0.67	0.50	1.00	463	3	0	230	227	3
random_07	lufthansa	0.53	0.53	0.53	472	242	218	6	4	2
random_07	luxor hotel and casino	0.44	0.44	0.44	474	93	116	115	105	45
random_07	lynx express	0.40	0.49	0.33	479	1	2	236	236	4
random_07	mack group	0.00	0.49	0.00	474	0	1	231	238	4
random_07	magnum research	0.47	0.44	0.50	468	13	13	192	235	15
random_07	mandalay bay resort and casino	0.51	0.49	0.52	484	182	167	55	61	19
random_07	marriott international	0.47	0.46	0.48	467	198	218	18	18	15
random_07	marvel comics	0.49	0.48	0.50	476	200	204	29	26	17
random_07	mdm (event agency)	0.50	0.52	0.48	475	10	11	235	215	4
random_07	mep	0.53	0.48	0.60	475	12	8	216	235	4
random_07	mercedes-benz	0.50	0.49	0.51	471	183	173	49	54	12
random_07	mercer consulting	0.58	0.50	0.69	462	11	5	222	220	4
random_07	mgm grand hotel and casino	0.51	0.48	0.54	480	96	83	134	125	42
random_07	mta bike plus (nyc)	0.46	0.44	0.48	481	79	84	134	148	36
random_07	nikon	0.43	0.43	0.43	449	190	249	4	1	5
random_07	nordic airways	0.52	0.49	0.56	476	5	4	230	237	0
random_07	philips	0.57	0.57	0.58	446	207	153	45	34	7
random_07	pierce manufacturing	0.00	0.48	0.00	465	0	1	224	240	0
random_07	pioner company	0.53	0.50	0.58	462	19	14	210	215	4
random_07	renaissance technologies	0.00	0.52	0.00	470	0	1	243	224	2
random_07	renault	0.46	0.46	0.47	425	189	215	6	4	11
random_07	shin corporation	0.48	0.45	0.50	488	1	1	221	250	15
random_07	smarter travel	0.29	0.50	0.20	452	1	4	226	220	1
random_07	southwest airlines	0.50	0.47	0.53	468	70	62	149	180	7
random_07	yamaha	0.45	0.44	0.46	489	207	244	9	10	19
random_08	alcatel	0.49	0.49	0.49	481	227	233	9	8	4
random_08	amadeus_it_group	0.42	0.48	0.38	481	24	40	205	212	0
random_08	apollo hospitals	0.58	0.52	0.67	450	6	3	226	210	5
random_08	armani	0.45	0.44	0.47	466	154	175	51	68	18
random_08	barclays	0.49	0.48	0.50	476	169	166	60	73	8
random_08	bart	0.50	0.50	0.50	480	108	108	130	118	16
random_08	bayer	0.51	0.52	0.50	450	147	145	89	59	10
random_08	blockbuster inc.	0.47	0.46	0.47	476	149	165	72	71	19
random_08	boingo (wifi for travelers)	0.48	0.47	0.49	448	90	95	120	135	8
random_08	bulldog solutions	0.00	0.49	0.00	451	0	2	221	227	1
random_08	cadillac	0.54	0.52	0.56	482	164	131	87	85	15
random_08	craft magazine	0.54	0.52	0.56	467	5	4	239	217	2
random_08	delta holding	0.00	0.47	0.00	484	0	0	228	251	5
random_08	dunlop	0.56	0.52	0.60	464	65	44	178	170	7
random_08	edmunds.com	0.49	0.47	0.52	445	81	75	129	151	9
random_08	elf corporation	0.36	0.49	0.29	489	4	10	238	230	7
random_08	emperor entertainment group	0.60	0.51	0.75	490	6	2	242	240	0
random_08	fender	0.52	0.52	0.53	471	159	143	85	67	17
random_08	folio_corporation	0.39	0.48	0.33	473	2	4	225	224	18
random_08	foxtel	0.51	0.51	0.52	499	249	230	5	1	14
random_08	fujitsu	0.49	0.49	0.50	457	207	206	16	21	7
random_08	harpers	0.50	0.49	0.50	495	91	90	153	144	17
random_08	impulse (records )	0.44	0.48	0.40	454	6	9	213	226	0
random_08	lamborghini	0.51	0.51	0.52	407	195	181	12	10	9
random_08	land rover	0.49	0.48	0.50	450	137	136	79	86	12
random_08	linux	0.52	0.51	0.52	387	196	182	2	4	3
